price,link,number_of_rooms,area,floor,district,address
1300000,https://krisha.kz/a/show/760690671,3,107.0,7,Есильский р-н, Достык 10/1
1300000,https://krisha.kz/a/show/676824750,4,240.0,18,Есильский р-н, Кабанбай батыра 6/1
1300000,https://krisha.kz/a/show/687486548,4,250.0,0,Алматы р-н, Шарля де Голля 7
1300000,https://krisha.kz/a/show/690795178,4,164.0,12,Алматы р-н, Байтурсынова 9 F2
1300000,https://krisha.kz/a/show/677477101,6,430.0,14,Сарыарка р-н, Женис 1 — Набережная
1250000,https://krisha.kz/a/show/760134636,4,200.0,9,Алматы р-н, Байтурсынова 1
1250000,https://krisha.kz/a/show/695935448,4,155.0,5,Есильский р-н, Туркестан 28
1250000,https://krisha.kz/a/show/676760743,4,260.0,7,Алматы р-н, Момышулы 43
1245000,https://krisha.kz/a/show/695241895,4,157.0,8,Есильский р-н, Достык 1/2
1200000,https://krisha.kz/a/show/687475288,4,150.0,10,Есильский р-н, Сарайшык 4 — Кунаева
1200000,https://krisha.kz/a/show/691115730,5,213.0,14,Алматы р-н, Байтурсынова 9
1200000,https://krisha.kz/a/show/698854841,4,160.0,10,Есильский р-н, Достык 1/1
1200000,https://krisha.kz/a/show/699377893,4,160.0,6,Есильский р-н, Сарайшык 2 — Кунаева
1200000,https://krisha.kz/a/show/661953568,5,213.0,10,Алматы р-н, Ахмета Байтурсынова 9 — Блок-F
1200000,https://krisha.kz/a/show/697845822,4,140.0,4,Есильский р-н, Кабанбай батыра 11/2
1200000,https://krisha.kz/a/show/696982079,4,140.0,0,Алматы р-н, Шамши Калдаяков 8
1200000,https://krisha.kz/a/show/684022190,5,215.0,25,Алматы р-н, Байтурсынова 9
1200000,https://krisha.kz/a/show/698318865,4,170.0,7,Есильский р-н, Туран 5
1200000,https://krisha.kz/a/show/697422646,3,130.0,21,Есильский р-н, Сарайшык 34а
1200000,https://krisha.kz/a/show/693781355,4,200.0,19,Алматы р-н, Жумекен Нажимеденов 2
1200000,https://krisha.kz/a/show/696710225,5,260.0,5,Алматы р-н, Шамши Калдаякова 4 — Тауелсыздик
1200000,https://krisha.kz/a/show/692975876,4,160.0,22,Есильский р-н, Достык 1/1
1200000,https://krisha.kz/a/show/698319201,4,174.0,8,Есильский р-н, Акмешит 19
1200000,https://krisha.kz/a/show/687048447,4,160.0,0,Есильский р-н, Туран 37/9
1200000,https://krisha.kz/a/show/1000168480,4,180.0,4,Есильский р-н, Сыганак 58/1 — Акмешит
1200000,https://krisha.kz/a/show/697032221,3,120.0,0,Есильский р-н, Сарайшык 2 — Кунаева
1200000,https://krisha.kz/a/show/692135744,3,120.0,5,Есильский р-н, Сарайшык 2 — Кунаева
1200000,https://krisha.kz/a/show/761922190,4,140.0,9,Есильский р-н, Сарайшык — Сарайшык- Кабанбай батыр
1200000,https://krisha.kz/a/show/699816298,3,120.0,2,Есильский р-н, мкр Шубар 16
1200000,https://krisha.kz/a/show/762178981,4,120.0,11,Нура р-н, Кабанбай батыра
1200000,https://krisha.kz/a/show/28185354,5,213.0,8,Алматы р-н, улица Ахмет Байтурсынова 9
1200000,https://krisha.kz/a/show/698303833,3,120.0,7,Есильский р-н, Достык 1
1200000,https://krisha.kz/a/show/679914653,5,220.0,10,Алматы р-н, Ахмета Байтурсынова 9 — проспект Тауелсиздик
1200000,https://krisha.kz/a/show/687832039,4,160.0,0,Есильский р-н, Достык 1А
1200000,https://krisha.kz/a/show/699360336,3,130.0,20,Есильский р-н, Кайым Мухамедханов 1/2
1200000,https://krisha.kz/a/show/761083543,4,160.0,22,Есильский р-н, Туран 37/9
1200000,https://krisha.kz/a/show/692136103,3,140.0,8,Есильский р-н, Туран 5
1200000,https://krisha.kz/a/show/698695795,4,161.0,22,Алматы р-н, Кошкарбаева 8 — Мечеть
