price,link,number_of_rooms,area,floor,district,address
150000,https://krisha.kz/a/show/1000112127,1,35.0,3,Алматы р-н, Майлина 7/2
150000,https://krisha.kz/a/show/1000177870,1,45.0,5,Алматы р-н, Айнаколь 62/1
250000,https://krisha.kz/a/show/683381664,2,40.2,3,Есильский р-н, Улы Дала 31/1 — Alpamys school
450000,https://krisha.kz/a/show/699712773,4,134.0,7,Есильский р-н, Достык 2 — Керуен
170000,https://krisha.kz/a/show/1000217031,1,48.0,15,Есильский р-н, Улы дала 55/1 — Мангилик -улы дала
170000,https://krisha.kz/a/show/1000217057,1,34.0,5,Нура р-н, Бектурова 17 — Возле ЖК Алтын шар-1
350000,https://krisha.kz/a/show/695704823,1,45.0,6,Нура р-н, Туран 44/2 — Туран орынбор
350000,https://krisha.kz/a/show/673513926,2,74.5,8,Есильский р-н, Мәңгілік Ел 29/1
200000,https://krisha.kz/a/show/760423902,2,50.0,12,Нура р-н, Туран 50/2 — Астана арена
250000,https://krisha.kz/a/show/1000208475,2,65.0,6,Есильский р-н, Максут Нарикбаев 6а
180000,https://krisha.kz/a/show/762104938,1,37.0,6,Есильский р-н, Е30
110000,https://krisha.kz/a/show/699173173,1,30.0,14,Сарыарка р-н, Н. Тлендиева 52
200000,https://krisha.kz/a/show/761271511,2,70.0,9,Алматы р-н, Кудайбердыулы 33
350000,https://krisha.kz/a/show/762101486,4,100.0,9,Есильский р-н, Сыганак 18/1
220000,https://krisha.kz/a/show/1000186689,1,40.0,12,Есильский р-н, Абикен Бектуров 3/2
280000,https://krisha.kz/a/show/761327723,2,60.0,0,Есильский р-н, Сауран 10б
200000,https://krisha.kz/a/show/762281333,2,67.0,5,Есильский р-н, Е495 52
300000,https://krisha.kz/a/show/762240795,2,69.0,8,Сарайшык р-н, Нажимеденов 26/1 — Ул.Ж.Надимеденова угол уд.К.Азербаева
350000,https://krisha.kz/a/show/762272506,1,42.0,10,Есильский р-н, Мухамедханова 4/2 — Туран
375000,https://krisha.kz/a/show/678265484,2,78.0,9,Есильский р-н, Алматы 19/2
200000,https://krisha.kz/a/show/698204314,1,41.0,8,Есильский р-н, Толе би 16 — Улы дала- Туран
230000,https://krisha.kz/a/show/760114693,1,43.0,6,Нура р-н, Е-36 9/1
155000,https://krisha.kz/a/show/762146711,1,32.0,11,Сарайшык р-н, Байтурсынова 18
180000,https://krisha.kz/a/show/692812182,1,43.0,3,Нура р-н, И.Омарова 27/1
190000,https://krisha.kz/a/show/760071944,1,42.0,7,р-н Байконур, Иманова 17
260000,https://krisha.kz/a/show/699550161,2,65.0,4,Нура р-н, Е-36 ул 9
350000,https://krisha.kz/a/show/686916667,3,88.0,5,Есильский р-н, 23й-проезд дом 6 6 — Бухар Жырау 34
300000,https://krisha.kz/a/show/696932356,1,45.0,12,Есильский р-н, Акмешит 13/2
210000,https://krisha.kz/a/show/762020318,1,59.0,2,Unknown District,Аманжол болекпаев 4
300000,https://krisha.kz/a/show/762073418,3,83.0,13,Есильский р-н, Сарайшык 5 — Сарайшик/Кабанбая
300000,https://krisha.kz/a/show/762329298,2,48.0,16,Есильский р-н, Туран 52/5 — Бухар Жырау пересечение Туран
140000,https://krisha.kz/a/show/697231484,1,33.0,3,Алматы р-н, Жанкент — Мечети Хазрет Султан торговый дом Рахмет
300000,https://krisha.kz/a/show/692348752,2,60.0,6,Есильский р-н, Турар Рыскулов 5/3
200000,https://krisha.kz/a/show/761177832,1,40.0,4,Есильский р-н, Аль-Фараби 7/3
180000,https://krisha.kz/a/show/1000215876,1,37.0,13,Нура р-н, Улы Дала 25
180000,https://krisha.kz/a/show/1000215918,1,38.0,8,Сарайшык р-н, Ахмет Байтурсынулы 14
190000,https://krisha.kz/a/show/683218328,1,50.0,13,р-н Байконур, Омарова 150 — Абая-Валиханова
200000,https://krisha.kz/a/show/696192791,2,60.0,16,Алматы р-н, Ш. Калдаякова 58/1 — А82
1000000,https://krisha.kz/a/show/695976351,4,230.0,3,Есильский р-н, Сыганак 58
300000,https://krisha.kz/a/show/762216042,2,50.0,9,Алматы р-н, Нажимеденова 4/1
350000,https://krisha.kz/a/show/762181826,2,70.0,2,Есильский р-н, Керей и Жанибек хандар 42
180000,https://krisha.kz/a/show/761849659,1,32.0,12,Unknown District,Толе Би 28/1 — Барыс Арена
170000,https://krisha.kz/a/show/1000210508,1,43.0,3,Есильский р-н, E-669 13
220000,https://krisha.kz/a/show/697973025,2,70.0,9,Алматы р-н, Сатпаева 20 — По Сатпаева между Майлина и Бауржан Момышулы
250000,https://krisha.kz/a/show/761671316,2,49.0,6,Алматы р-н, Нәжімеденов 16 — Үй шамамен Қалыбек театр маңайында
200000,https://krisha.kz/a/show/692974639,3,70.0,9,Сарыарка р-н, Бейбарыс Султан — Косшыгулулы     Айтматова
200000,https://krisha.kz/a/show/760950195,2,54.0,10,Есильский р-н, Сарайшык 34 — МИД РК
250000,https://krisha.kz/a/show/686995686,1,40.3,9,Есильский р-н, Улыдала 39
450000,https://krisha.kz/a/show/761166238,3,100.0,9,Есильский р-н, Мангилик ели 49 блок А — Улы дала
500000,https://krisha.kz/a/show/693660602,3,78.0,7,Нура р-н, Альфараби 9
190000,https://krisha.kz/a/show/683675406,1,38.0,6,Алматы р-н, Байтурсынова 2 — Нурмагамбетова
800000,https://krisha.kz/a/show/762328687,3,115.0,8,Алматы р-н, Шамши Калдаяков 8/2 — Сынанак
200000,https://krisha.kz/a/show/1000194928,2,50.0,8,Сарайшык р-н, Калибек Куанышбаев
190000,https://krisha.kz/a/show/690518365,1,45.0,7,Есильский р-н, Алматы 19/2
280000,https://krisha.kz/a/show/761933860,3,95.0,2,Есильский р-н, Керей и  Жанибек хандар
210000,https://krisha.kz/a/show/1000215252,2,45.0,0,Сарыарка р-н, Торайгырова 4
220000,https://krisha.kz/a/show/761704595,2,67.0,7,Есильский р-н, Санжара Асфендиярова — Мухамедханова Әйтеке би көшес
240000,https://krisha.kz/a/show/1000143441,1,46.0,7,Есильский р-н, Кабанбай батыра 60/7
800000,https://krisha.kz/a/show/761708291,3,213.0,5,Есильский р-н, Достык 13
210000,https://krisha.kz/a/show/680906795,3,50.0,5,Алматы р-н, Тауелсиздик 34/9 — Момышулы
180000,https://krisha.kz/a/show/684712196,1,35.0,13,Есильский р-н, Бектурова 4/1
200000,https://krisha.kz/a/show/691341441,2,52.0,6,Есильский р-н, Бокейхана
230000,https://krisha.kz/a/show/760201262,1,42.0,7,Есильский р-н, Керей-Жанибек хандар 50/3
200000,https://krisha.kz/a/show/1000214938,1,38.66,5,Есильский р-н, Бокейхан 52
650000,https://krisha.kz/a/show/760724989,4,165.0,5,Есильский р-н, Кабанбай батыра 34/1
159000,https://krisha.kz/a/show/761830551,1,45.0,5,Нура р-н, К.Мухамедханов 45/1 — Ч.Айтматов
220000,https://krisha.kz/a/show/762051552,2,45.0,16,Сарыарка р-н, Абая 10/2 — Пересечение проспектов Сарыарка и Абая
250000,https://krisha.kz/a/show/762338356,2,69.0,12,Нура р-н, Е-36 9/1
185000,https://krisha.kz/a/show/691318111,2,40.0,11,Есильский р-н, Е-669
150000,https://krisha.kz/a/show/663182927,1,45.0,5,Unknown District,Нажимеденова 20
220000,https://krisha.kz/a/show/688187322,2,40.0,1,Unknown District,Чингиз Айтматова 77/4 — Набережная
500000,https://krisha.kz/a/show/1000203045,3,130.0,0,Есильский р-н, Мангилик ел — Мангилик ел-Керей Жанибека
200000,https://krisha.kz/a/show/762246186,1,50.0,4,Нура р-н, Кайым Мухамедханов 21/2 — Комсомольский
80000,https://krisha.kz/a/show/760720131,1,13.0,5,Сарыарка р-н, Женис 70 — Алтынсарина
220000,https://krisha.kz/a/show/1000100933,3,67.1,5,Сарыарка р-н, С 303 — По Тлендиева
260000,https://krisha.kz/a/show/762301937,2,60.0,2,Есильский р-н, Керей-Жәнібек хандар 9 9 — Алматы
230000,https://krisha.kz/a/show/762182665,2,75.0,12,Алматы р-н, Кошкарбаева 44
270000,https://krisha.kz/a/show/671269645,2,68.0,8,Есильский р-н, Орынбор 1 — Напротив Ботанического сада
200000,https://krisha.kz/a/show/676348297,1,43.0,4,Есильский р-н, Фариза Онгарсынова 6 — Фариза Онгарсынова
450000,https://krisha.kz/a/show/684410902,4,165.0,2,Есильский р-н, Жубан Ана 9
200000,https://krisha.kz/a/show/1000214240,2,53.4,2,Алматы р-н, Байтурсынова 53
200000,https://krisha.kz/a/show/761935123,1,50.0,18,Есильский р-н, Акмешит 17/1 — Топовая локация
250000,https://krisha.kz/a/show/761934711,2,50.0,12,Алматы р-н, Тауелсиздик 34/9 — Топовая локация
200000,https://krisha.kz/a/show/698410163,1,30.0,5,Есильский р-н, Култегин 11/1
170000,https://krisha.kz/a/show/762328446,1,42.0,9,Есильский р-н, Абикен Бектуров 3/3
220000,https://krisha.kz/a/show/699414130,1,40.0,9,Нура р-н, Улы Дала
200000,https://krisha.kz/a/show/761588879,2,43.0,3,Сарайшык р-н, Нажимеденова 26/1
170000,https://krisha.kz/a/show/682876501,2,46.9,6,Сарыарка р-н, Косшыгулы 13/6
300000,https://krisha.kz/a/show/669065393,2,59.0,2,Есильский р-н, Кабанбай батыра 13
250000,https://krisha.kz/a/show/672881310,2,70.0,8,Есильский р-н, Сыганак 39/1 — Акмешит
175000,https://krisha.kz/a/show/679885380,1,46.76,3,Unknown District,Мәңгілік Ел — Керей-Жанибек хандар
165000,https://krisha.kz/a/show/685181895,1,30.0,4,р-н Байконур, Янушкевича — Иманова
120000,https://krisha.kz/a/show/699032888,1,16.0,1,Алматы р-н, Кудайбердыулы 4 — ТРЦ Аружан
180000,https://krisha.kz/a/show/1000139757,1,40.3,5,Нура р-н, К.Мухамедханова 47 — Школа-гимназия №90
350000,https://krisha.kz/a/show/761037441,2,62.0,14,Есильский р-н, Пр.Кабанбай батыра 5 — Ул.Т.Рыскулова
190000,https://krisha.kz/a/show/22523735,2,84.0,13,Сарыарка р-н, Кенесары 4 — Уг. ул.Кенесары- Шевченко
300000,https://krisha.kz/a/show/698552228,2,49.3,4,Нура р-н, мкр Уркер
170000,https://krisha.kz/a/show/1000197483,1,41.0,12,Unknown District,Кабанбай батыра 40
250000,https://krisha.kz/a/show/761155492,2,60.0,7,Сарыарка р-н, Қосшығулұлы 13/6
170000,https://krisha.kz/a/show/674621479,1,40.0,7,Есильский р-н, Асфендиярова
450000,https://krisha.kz/a/show/761598568,3,100.0,4,Есильский р-н, Сыганак 18/1
230000,https://krisha.kz/a/show/697142777,2,51.0,0,Алматы р-н, Абылай Хана 4 — ЕНУ
80000,https://krisha.kz/a/show/679689051,1,35.0,0,Сарыарка р-н, Тлендиева 351/2 — Баршын
